列車番号,運番,種別,始発駅,行先駅,行番,発時,谷上,新神,三宮,県庁,大倉,湊川,上沢,長田,新長,板宿,妙法,名谷,運動,学園,伊川,神南,西神
05-102,02,普通,名谷,西神中央,1,5,,,,,,,,,,,,5:23,5:25,5:27,5:29,5:31,5:34
05-105,05,普通,名谷,西神中央,1,5,,,,,,,,,,,,5:38,5:40,5:42,5:44,5:46,5:49
05-125,25,普通,谷上,西神中央,1,5,5:18,5:26,5:28,5:30,5:32,5:33,5:35,5:36,5:39,5:41,5:45,5:47,5:50,5:52,5:54,5:56,5:59
05-106,06,普通,新神戸,西神中央,1,5,,5:39,5:41,5:43,5:45,5:46,5:48,5:49,5:52,5:54,5:58,6:01,6:03,6:05,6:07,6:10,6:12
05-126,26,普通,谷上,西神中央,1,5,5:41,5:49,5:51,5:53,5:55,5:56,5:58,5:59,6:02,6:04,6:08,6:11,6:13,6:15,6:17,6:20,6:22
06-107,07,普通,名谷,西神中央,1,6,,,,,,,,,,,,6:16,6:18,6:20,6:22,6:24,6:27
05-101,01,普通,谷上,西神中央,1,5,5:55,6:03,6:06,6:07,6:09,6:11,6:12,6:14,6:17,6:19,6:23,6:26,6:28,6:30,6:32,6:34,6:37
06-103,03,普通,谷上,西神中央,1,6,6:07,6:15,6:18,6:19,6:21,6:23,6:24,6:26,6:29,6:31,6:35,6:38,6:40,6:42,6:44,6:46,6:49
06-109,09,普通,名谷,西神中央,1,6,,,,,,,,,,,,6:40,6:43,6:45,6:47,6:49,6:52
06-160,60,普通,谷上,西神中央,1,6,6:15,6:23,6:26,6:27,6:29,6:31,6:32,6:34,6:37,6:39,6:43,6:46,6:48,6:50,6:52,6:54,6:57
06-110,10,普通,名谷,西神中央,1,6,,,,,,,,,,,,6:49,6:51,6:53,6:55,6:58,7:00
06-104,04,普通,谷上,西神中央,1,6,6:26,6:34,6:36,6:38,6:40,6:41,6:43,6:44,6:47,6:49,6:53,6:56,6:58,7:00,7:02,7:05,7:07
07-112,12,普通,名谷,西神中央,1,7,,,,,,,,,,,,7:00,7:02,7:04,7:06,7:08,7:11
06-102,02,普通,谷上,西神中央,1,6,6:36,6:44,6:47,6:48,6:50,6:52,6:53,6:55,6:58,7:00,7:04,7:07,7:09,7:11,7:13,7:15,7:18
07-115,15,普通,名谷,西神中央,1,7,,,,,,,,,,,,7:10,7:12,7:14,7:16,7:19,7:21
06-105,05,普通,谷上,西神中央,1,6,6:46,6:54,6:56,6:58,7:00,7:01,7:03,7:04,7:07,7:09,7:13,7:16,7:18,7:20,7:22,7:25,7:27
07-117,17,普通,名谷,西神中央,1,7,,,,,,,,,,,,7:20,7:22,7:24,7:26,7:29,7:31
06-125,25,普通,谷上,西神中央,1,6,6:54,7:02,7:05,7:06,7:08,7:10,7:11,7:13,7:16,7:18,7:21,7:24,7:26,7:28,7:30,7:33,7:35
07-118,18,普通,名谷,西神中央,1,7,,,,,,,,,,,,7:28,7:30,7:32,7:34,7:36,7:39
07-106,06,普通,谷上,西神中央,1,7,7:02,7:10,7:12,7:14,7:16,7:17,7:19,7:20,7:23,7:25,7:29,7:32,7:34,7:36,7:38,7:41,7:43
07-120,20,普通,名谷,西神中央,1,7,,,,,,,,,,,,7:35,7:37,7:39,7:41,7:43,7:46
07-108,08,普通,谷上,西神中央,1,7,7:08,7:16,7:19,7:20,7:22,7:24,7:26,7:27,7:30,7:32,7:36,7:39,7:42,7:44,7:46,7:48,7:51
07-107,07,普通,新神戸,西神中央,1,7,,7:21,7:24,7:26,7:28,7:29,7:31,7:32,7:36,7:38,7:41,7:45,7:47,7:49,7:51,7:53,7:56
07-126,26,普通,谷上,西神中央,1,7,7:17,7:25,7:28,7:30,7:32,7:33,7:35,7:36,7:40,7:42,7:45,7:49,7:51,7:53,7:55,7:57,8:00
07-113,13,普通,新神戸,西神中央,1,7,,7:31,7:34,7:36,7:38,7:39,7:41,7:42,7:46,7:48,7:51,7:55,7:57,7:59,8:01,8:03,8:06
07-111,11,普通,谷上,西神中央,1,7,7:27,7:35,7:38,7:40,7:42,7:43,7:45,7:46,7:50,7:52,7:55,7:59,8:01,8:03,8:05,8:07,8:10
07-109,09,普通,新神戸,西神中央,1,7,,7:38,7:41,7:43,7:45,7:46,7:48,7:49,7:53,7:55,7:58,8:02,8:04,8:06,8:08,8:10,8:13
07-101,01,普通,谷上,西神中央,1,7,7:35,7:43,7:45,7:47,7:49,7:51,7:52,7:54,7:57,7:59,8:02,8:06,8:08,8:10,8:12,8:14,8:17
07-110,10,普通,新神戸,西神中央,1,7,,7:46,7:49,7:50,7:52,7:54,7:56,7:57,8:00,8:02,8:06,8:09,8:12,8:14,8:16,8:18,8:21
07-303,03,普通,谷上,名谷,3,7,7:41,7:49,7:52,7:53,7:55,7:57,7:59,8:00,8:03,8:06,8:09,8:11,,,,,
07-104,04,普通,新神戸,西神中央,1,7,,7:53,7:56,7:57,7:59,8:01,8:03,8:04,8:07,8:09,8:13,8:16,8:19,8:21,8:23,8:25,8:28
07-112,12,普通,新神戸,西神中央,1,7,,7:56,7:59,8:01,8:03,8:04,8:06,8:07,8:11,8:13,8:16,8:20,8:22,8:24,8:26,8:28,8:31
07-160,60,普通,谷上,西神中央,1,7,7:51,7:59,8:02,8:04,8:06,8:07,8:09,8:10,8:14,8:16,8:19,8:23,8:25,8:27,8:29,8:31,8:34
08-302,02,普通,新神戸,名谷,3,8,,8:03,8:05,8:07,8:09,8:11,8:12,8:14,8:17,8:19,8:23,8:25,,,,,
08-115,15,普通,新神戸,西神中央,1,8,,8:06,8:09,8:10,8:12,8:14,8:15,8:17,8:20,8:22,8:26,8:29,8:31,8:33,8:35,8:38,8:40
08-314,14,普通,谷上,名谷,3,8,8:01,8:09,8:12,8:13,8:15,8:17,8:18,8:20,8:23,8:25,8:29,8:31,,,,,
08-105,05,普通,新神戸,西神中央,1,8,,8:13,8:15,8:17,8:19,8:21,8:22,8:24,8:27,8:29,8:33,8:36,8:38,8:40,8:42,8:45,8:47
08-317,17,普通,新神戸,名谷,3,8,,8:16,8:19,8:21,8:23,8:24,8:26,8:27,8:31,8:33,8:36,8:38,,,,,
08-116,16,普通,谷上,西神中央,1,8,8:12,8:20,8:23,8:25,8:27,8:28,8:30,8:31,8:35,8:37,8:40,8:44,8:46,8:48,8:50,8:52,8:55
08-118,18,普通,新神戸,西神中央,1,8,,8:24,8:26,8:28,8:30,8:32,8:33,8:35,8:38,8:40,8:43,8:47,8:49,8:51,8:53,8:55,8:58
08-319,19,普通,谷上,名谷,3,8,8:19,8:27,8:30,8:31,8:33,8:35,8:37,8:38,8:41,8:43,8:47,8:49,,,,,
08-106,06,普通,新神戸,西神中央,1,8,,8:30,8:33,8:34,8:36,8:38,8:40,8:41,8:44,8:47,8:50,8:54,8:56,8:58,9:00,9:02,9:05
08-120,20,普通,新神戸,西神中央,1,8,,8:33,8:36,8:37,8:39,8:41,8:43,8:44,8:47,8:50,8:53,8:57,8:59,9:01,9:03,9:05,9:08
08-325,25,普通,谷上,名谷,3,8,8:30,8:38,8:41,8:42,8:44,8:46,8:47,8:49,8:52,8:54,8:57,9:00,,,,,
08-107,07,普通,新神戸,西神中央,1,8,,8:41,8:44,8:46,8:48,8:49,8:51,8:52,8:56,8:58,9:01,9:05,9:07,9:09,9:11,9:13,9:16
08-121,21,普通,谷上,西神中央,1,8,8:37,8:45,8:48,8:49,8:51,8:53,8:54,8:56,8:59,9:01,9:05,9:08,9:10,9:13,9:15,9:17,9:20
08-303,03,普通,新神戸,名谷,3,8,,8:48,8:51,8:53,8:55,8:56,8:58,8:59,9:03,9:05,9:08,9:11,,,,,
08-113,13,普通,新神戸,西神中央,1,8,,8:51,8:54,8:56,8:58,8:59,9:01,9:02,9:06,9:08,9:11,9:15,9:17,9:19,9:21,9:23,9:26
08-108,08,普通,谷上,西神中央,1,8,8:47,8:55,8:58,8:59,9:01,9:03,9:05,9:06,9:09,9:11,9:15,9:18,9:21,9:23,9:25,9:27,9:30
09-309,09,普通,新神戸,名谷,3,9,,9:00,9:02,9:04,9:06,9:08,9:09,9:11,9:14,9:16,9:19,9:22,,,,,
08-126,26,普通,谷上,西神中央,1,8,8:56,9:04,9:07,9:08,9:10,9:12,9:14,9:15,9:18,9:20,9:24,9:27,9:30,9:32,9:34,9:36,9:39
09-111,11,普通,谷上,西神中央,1,9,9:03,9:11,9:13,9:15,9:17,9:18,9:20,9:21,9:25,9:27,9:30,9:33,9:35,9:38,9:40,9:42,9:45
09-304,04,普通,新神戸,名谷,3,9,,9:14,9:17,9:18,9:20,9:22,9:24,9:25,9:28,9:30,9:34,9:36,,,,,
09-112,12,普通,新神戸,西神中央,1,9,,9:19,9:21,9:23,9:25,9:27,9:28,9:30,9:33,9:35,9:38,9:42,9:44,9:46,9:48,9:50,9:53
09-301,01,普通,谷上,名谷,3,9,9:17,9:25,9:27,9:29,9:31,9:33,9:34,9:36,9:39,9:41,9:44,9:47,,,,,
